Intern_ID,Completion_Time,Feedback_Rating,Attendance,Performance_Score
INT2601,4.33,1.11,78.99,59.06
INT2602,1.0,2.7,99.84,88.03
INT2603,5.69,4.48,35.42,51.85
INT2604,2.6,2.35,55.18,69.36
INT2605,1.0,5.0,6.24,100.0
INT2606,3.71,1.8,71.06,72.56
INT2607,1.11,2.41,4.6,92.18
INT2608,2.44,5.0,99.93,96.21
INT2609,5.48,4.26,79.42,77.55
INT2610,1.58,4.0,60.23,96.54
INT2611,6.49,1.08,75.18,46.45
INT2612,1.24,1.0,0.39,68.72
INT2613,2.67,1.84,88.72,66.34
INT2614,5.64,1.91,50.03,40.08
INT2615,3.28,2.64,75.25,92.31
INT2616,1.41,,61.76,84.92
INT2617,2.96,1.8,1.61,62.31
INT2618,2.86,1.0,57.65,51.18
INT2619,5.79,1.0,83.32,43.3
INT2620,3.29,5.0,7.06,78.9
INT2621,5.76,5.0,67.83,63.99
INT2622,6.15,4.24,97.03,79.95
INT2623,3.88,2.76,62.02,81.07
INT2624,,3.41,23.04,41.62
INT2625,3.72,2.04,53.46,61.28
INT2626,7.0,1.8,75.23,38.7
INT2627,1.71,3.24,2.15,79.03
INT2628,4.73,3.66,66.36,72.6
INT2629,3.72,3.1,84.51,70.71
INT2630,3.35,5.0,53.05,73.36
INT2631,5.15,3.76,92.87,69.22
INT2632,4.9,1.0,6.71,45.61
INT2633,1.0,,0.14,72.98
INT2634,1.57,2.95,96.83,82.26
INT2635,5.29,4.68,67.81,62.97
INT2636,5.38,1.66,69.96,50.3
INT2637,6.34,2.89,87.3,66.26
INT2638,5.28,5.0,56.7,68.46
INT2639,6.89,3.45,65.7,49.21
INT2640,5.55,3.79,55.93,69.55
INT2641,3.1,1.62,72.74,68.67
INT2642,1.92,1.71,77.6,82.31
INT2643,,3.86,60.56,66.62
INT2644,4.76,5.0,51.33,77.55
INT2645,1.77,3.98,1.19,78.36
INT2646,3.65,1.64,23.6,62.79
INT2647,6.84,1.46,98.67,45.74
INT2648,4.21,3.42,25.12,48.01
INT2649,4.05,1.77,45.67,81.31
INT2650,3.7,5.0,71.74,81.92
INT2651,1.89,2.38,52.98,65.01
INT2652,3.38,1.0,38.06,58.15
INT2653,3.68,2.94,75.84,62.82
INT2654,1.51,3.62,92.73,85.45
INT2655,5.91,1.96,0.56,49.83
INT2656,3.42,2.73,53.97,57.89
INT2657,5.53,3.74,60.46,65.05
INT2658,5.77,1.83,,33.73
INT2659,2.75,3.96,6.74,68.91
INT2660,4.93,5.0,72.84,69.75
INT2661,3.34,,99.22,67.94
INT2662,,3.21,75.73,58.59
INT2663,2.29,5.0,87.09,83.77
INT2664,5.41,1.62,84.15,69.89
INT2665,4.7,3.58,92.5,68.23
INT2666,2.37,1.39,60.79,65.0
INT2667,1.94,5.0,50.4,97.06
INT2668,5.41,4.83,94.07,82.6
INT2669,4.96,3.89,,45.51
INT2670,3.23,1.0,67.34,56.22
INT2671,4.61,2.89,98.51,49.11
INT2672,3.26,1.0,89.04,59.14
INT2673,5.15,4.13,64.13,61.98
INT2674,2.6,1.0,57.07,56.72
INT2675,6.34,3.95,70.22,46.78
INT2676,2.67,2.01,74.5,87.12
INT2677,3.53,1.18,33.75,57.56
INT2678,1.0,2.05,63.97,87.29
INT2679,1.26,5.0,83.74,95.9
INT2680,3.62,2.78,88.93,61.02
INT2681,2.8,1.92,93.7,91.51
INT2682,6.04,3.79,57.77,65.45
INT2683,1.47,1.59,0.0,79.83
INT2684,3.27,1.0,62.74,53.05
INT2685,2.74,3.89,,74.8
INT2686,1.43,4.0,5.67,100.0
INT2687,1.54,3.36,72.73,79.27
INT2688,3.92,3.29,0.0,50.68
INT2689,3.71,3.53,57.99,68.88
INT2690,3.1,,73.65,70.34
INT2691,4.18,,88.13,73.41
INT2692,4.12,,99.86,85.77
INT2693,1.0,2.86,5.53,92.08
INT2694,3.78,5.0,93.85,89.66
INT2695,6.5,,87.39,67.88
INT2696,3.62,5.0,94.77,76.4
INT2697,4.87,2.4,53.81,37.46
INT2698,2.85,4.14,96.5,93.73
INT2699,5.53,,69.82,73.76
INT2700,5.28,1.8,,49.63
INT2701,4.21,2.75,53.79,61.86
INT2702,7.0,1.04,85.76,46.46
INT2703,1.93,3.82,86.78,95.0
INT2704,1.0,3.69,0.32,97.34
INT2705,5.26,1.8,88.44,45.54
INT2706,5.84,3.51,69.13,71.25
INT2707,2.11,1.0,77.86,71.47
INT2708,2.56,4.99,33.31,87.46
INT2709,1.0,2.63,4.69,72.75
INT2710,2.35,3.11,62.43,61.94
INT2711,6.08,1.0,61.1,45.71
INT2712,4.35,1.0,56.52,50.62
INT2713,2.9,2.65,95.31,82.18
INT2714,3.03,4.0,95.64,77.16
INT2715,1.41,1.0,0.0,61.38
INT2716,2.48,1.25,53.99,50.8
INT2717,4.92,2.09,62.26,37.98
INT2718,7.0,2.98,41.36,60.67
INT2719,5.98,2.85,54.74,55.51
INT2720,1.0,2.03,3.98,63.49
INT2721,6.12,,79.39,59.34
INT2722,6.1,2.14,78.91,43.51
INT2723,5.7,4.41,77.17,71.53
INT2724,,4.0,66.93,84.02
INT2725,3.45,4.59,85.32,80.86
INT2726,3.26,4.0,91.32,94.41
INT2727,1.8,4.05,67.31,91.71
INT2728,2.35,5.0,3.14,83.6
INT2729,2.3,4.88,36.47,70.0
INT2730,4.0,2.02,56.87,51.01
INT2731,5.65,1.0,73.37,45.68
INT2732,3.84,1.31,57.8,58.02
INT2733,1.67,4.31,73.14,86.06
INT2734,6.43,3.29,61.05,39.04
INT2735,6.49,,86.94,50.49
INT2736,,2.67,16.39,54.1
INT2737,6.7,1.73,77.74,41.64
INT2738,4.21,3.15,58.47,63.14
INT2739,7.0,2.69,50.05,66.33
INT2740,1.58,3.79,93.46,93.06
INT2741,3.64,3.47,83.58,80.44
INT2742,2.57,3.13,54.95,69.98
INT2743,2.39,1.95,83.2,82.75
INT2744,1.93,2.55,80.58,66.55
INT2745,4.37,3.58,73.67,76.38
INT2746,5.71,1.0,70.96,49.66
INT2747,4.22,1.0,94.35,52.1
INT2748,2.38,4.8,62.26,88.71
INT2749,5.64,1.5,69.92,42.3
INT2750,4.55,3.29,33.6,57.38
INT2751,3.45,1.0,88.56,54.47
INT2752,5.05,2.35,56.84,57.12
INT2753,2.08,1.0,92.49,70.82
INT2754,2.7,2.02,57.29,61.7
INT2755,6.81,4.43,99.34,72.09
INT2756,2.72,2.35,84.86,86.28
INT2757,3.47,,87.55,71.31
INT2758,6.31,2.5,99.14,79.29
INT2759,5.0,1.0,50.35,46.05
INT2760,1.09,2.1,81.7,77.5
INT2761,2.34,1.4,86.95,64.7
INT2762,1.0,2.48,6.25,94.41
INT2763,4.34,2.48,61.85,62.02
INT2764,4.16,2.45,92.1,80.64
INT2765,2.1,2.05,76.88,94.73
INT2766,6.5,2.18,76.87,52.63
INT2767,4.09,2.51,50.35,69.1
INT2768,2.81,5.0,23.24,89.33
INT2769,3.86,2.0,77.23,64.1
INT2770,5.15,1.0,71.76,58.42
INT2771,1.49,4.67,42.83,90.09
INT2772,2.55,1.45,70.02,78.81
INT2773,5.98,1.8,95.89,47.73
INT2774,3.73,1.5,67.96,65.59
INT2775,,4.47,92.81,73.95
INT2776,3.91,2.48,95.14,74.82
INT2777,1.0,1.51,7.8,72.57
INT2778,1.95,4.0,72.35,94.29
INT2779,3.75,4.85,88.05,83.04
INT2780,2.47,2.73,85.4,83.3
INT2781,1.21,2.72,7.84,85.27
INT2782,6.3,2.59,55.13,68.55
INT2783,6.52,1.34,63.24,33.65
INT2784,5.91,3.6,56.55,44.53
INT2785,6.45,1.17,25.01,57.72
INT2786,2.84,5.0,63.09,84.92
INT2787,6.84,1.95,81.89,37.41
INT2788,1.99,2.94,97.72,100.0
INT2789,6.37,3.62,84.29,56.38
INT2790,6.82,2.24,73.8,57.53
INT2791,5.31,1.0,60.92,52.18
INT2792,6.59,1.0,86.39,39.81
INT2793,4.87,4.97,70.7,72.01
INT2794,2.96,2.82,45.55,94.5
INT2795,3.15,3.45,92.31,72.72
INT2796,4.62,5.0,95.27,93.4
INT2797,1.73,4.0,51.04,93.41
INT2798,4.48,4.52,18.01,55.3
INT2799,,4.5,64.24,67.36
INT2800,2.05,3.54,34.84,67.58
INT2801,5.46,4.83,50.49,52.46
INT2802,6.56,1.0,90.25,41.79
INT2803,7.0,1.79,75.87,60.35
INT2804,6.63,1.0,3.58,37.29
INT2805,4.18,3.27,95.73,81.55
INT2806,6.69,5.0,,63.8
INT2807,5.92,2.75,75.16,47.7
INT2808,,2.09,64.53,70.37
INT2809,3.54,1.93,65.26,61.4
INT2810,5.71,4.99,68.83,67.77
INT2811,2.13,1.95,72.45,61.48
INT2812,4.44,4.97,58.18,62.53
INT2813,5.15,1.99,54.73,49.43
INT2814,1.87,1.8,73.65,63.05
INT2815,4.42,1.0,73.25,48.32
INT2816,5.78,,82.67,43.5
INT2817,3.54,3.97,73.55,75.18
INT2818,1.0,5.0,5.19,91.86
INT2819,1.01,2.51,8.58,84.16
INT2820,2.91,2.05,95.34,80.13
INT2821,,1.39,57.97,30.92
INT2822,1.96,4.8,84.49,76.86
INT2823,5.11,1.38,79.69,50.52
INT2824,2.74,3.24,87.43,81.06
INT2825,2.58,5.0,57.53,87.95
INT2826,5.84,2.58,97.08,52.21
INT2827,5.52,2.06,81.05,74.19
INT2828,2.02,2.69,,65.38
INT2829,3.37,1.5,62.33,58.41
INT2830,1.54,1.0,3.91,70.49
INT2831,3.9,2.21,52.84,68.53
INT2832,5.43,2.49,69.87,46.72
INT2833,1.35,2.29,69.2,72.16
INT2834,3.2,3.47,82.89,76.31
INT2835,3.33,1.2,54.67,52.94
INT2836,6.97,5.0,50.03,65.19
INT2837,6.92,5.0,52.14,61.13
INT2838,,2.4,0.0,74.54
INT2839,5.87,1.57,50.73,45.0
INT2840,3.45,2.88,54.92,57.83
INT2841,3.47,3.42,98.59,88.06
INT2842,5.45,1.29,93.42,63.92
INT2843,6.8,4.42,45.36,57.29
INT2844,7.0,1.0,90.95,46.14
INT2845,3.97,2.6,94.38,72.96
INT2846,3.23,2.91,62.97,59.49
INT2847,6.1,3.77,92.47,82.09
INT2848,2.66,4.34,59.74,87.84
INT2849,,1.0,70.67,45.93
INT2850,3.55,2.07,77.91,68.69
INT2851,5.19,1.7,85.69,52.31
INT2852,2.66,3.44,51.51,62.03
INT2853,2.61,5.0,64.53,87.07
INT2854,6.87,2.11,80.43,62.11
INT2855,1.93,3.14,46.24,73.76
INT2856,3.63,1.0,50.29,64.08
INT2857,2.07,3.2,82.58,95.11
INT2858,1.29,2.5,2.4,81.7
INT2859,1.43,1.87,2.8,72.06
INT2860,1.85,2.67,81.45,68.49
INT2861,5.79,3.14,72.52,52.97
INT2862,2.5,3.84,58.45,87.14
INT2863,6.97,2.88,66.32,52.25
INT2864,4.87,1.0,65.15,54.44
INT2865,4.03,,55.41,63.63
INT2866,4.36,5.0,77.35,75.87
INT2867,3.97,3.16,88.18,63.07
INT2868,5.46,1.8,78.77,51.85
INT2869,2.57,3.14,91.31,77.94
INT2870,3.29,4.46,56.38,77.64
INT2871,6.22,4.65,32.36,58.32
INT2872,6.2,4.0,80.47,75.5
INT2873,6.3,1.48,83.8,53.62
INT2874,3.24,2.1,84.79,57.86
INT2875,5.21,5.0,86.45,77.71
INT2876,3.83,2.54,82.57,69.41
INT2877,3.7,3.29,54.71,70.18
INT2878,2.18,3.47,47.85,82.38
INT2879,4.33,4.79,86.24,66.29
INT2880,2.22,1.62,4.06,70.54
INT2881,3.48,2.02,84.67,82.27
INT2882,6.18,5.0,84.34,67.96
INT2883,2.39,4.81,75.74,80.41
INT2884,1.85,1.95,93.4,82.51
INT2885,1.28,1.0,74.6,74.17
INT2886,6.31,2.14,88.95,45.5
INT2887,3.82,1.36,80.63,64.11
INT2888,,2.04,53.95,52.48
INT2889,6.02,3.81,,80.39
INT2890,5.51,4.93,63.49,70.82
INT2891,3.34,2.64,88.78,81.52
INT2892,,2.07,56.23,54.95
INT2893,6.03,1.0,82.69,52.65
INT2894,5.38,4.0,64.79,81.31
INT2895,2.4,1.0,88.01,73.19
INT2896,6.57,1.23,62.02,36.37
INT2897,3.87,2.78,84.2,67.09
INT2898,2.9,3.5,64.75,90.75
INT2899,3.25,4.0,13.51,82.67
INT2900,1.63,1.84,0.53,61.95
INT2901,1.59,5.0,24.71,86.87
INT2902,5.42,,82.96,53.83
INT2903,1.42,1.8,7.96,70.28
INT2904,,4.0,64.45,88.07
INT2905,3.83,5.0,61.8,79.04
INT2906,1.25,2.38,90.46,87.63
INT2907,7.0,3.1,67.68,55.64
INT2908,2.51,3.25,95.02,93.04
INT2909,3.0,3.15,89.37,91.16
INT2910,,2.56,,84.29
INT2911,2.0,2.21,70.36,76.4
INT2912,1.03,3.87,0.0,100.0
INT2913,5.61,4.0,89.26,84.29
INT2914,6.94,2.27,24.08,33.01
INT2915,2.3,2.4,,89.34
INT2916,4.5,4.6,80.12,61.6
INT2917,5.01,1.0,64.5,58.52
INT2918,5.71,4.25,57.48,70.23
INT2919,3.38,2.02,71.38,49.59
INT2920,2.44,1.03,,72.99
INT2921,2.88,4.28,91.47,95.69
INT2922,4.96,1.65,94.94,57.42
INT2923,6.18,1.71,53.41,48.15
INT2924,2.46,4.0,65.1,89.15
INT2925,3.12,3.51,0.0,62.27
INT2926,6.42,3.23,38.15,48.35
INT2927,6.29,3.56,32.97,54.79
INT2928,6.95,2.88,74.81,50.58
INT2929,6.03,5.0,83.16,68.28
INT2930,3.0,4.0,74.87,87.28
INT2931,4.9,3.61,83.29,66.76
INT2932,4.97,3.27,53.32,68.25
INT2933,1.0,,93.8,89.25
INT2934,4.74,3.95,96.95,69.48
INT2935,5.73,4.43,80.9,70.18
INT2936,1.88,3.67,,95.64
INT2937,6.13,3.03,0.0,56.02
INT2938,4.14,1.0,57.32,55.06
INT2939,6.89,1.0,55.96,39.56
INT2940,1.0,2.94,2.29,71.28
INT2941,2.34,2.93,66.19,64.26
INT2942,4.89,,79.28,73.73
INT2943,2.66,1.0,43.71,54.14
INT2944,4.8,2.02,81.87,76.54
INT2945,5.46,3.66,68.37,43.63
INT2946,1.35,2.04,93.04,79.55
INT2947,4.26,2.11,81.69,73.05
INT2948,3.74,1.0,37.39,53.58
INT2949,3.56,4.0,66.81,86.48
INT2950,6.37,1.0,92.37,38.53
INT2951,5.86,1.78,69.32,53.17
INT2952,4.98,2.4,76.79,79.32
INT2953,5.43,5.0,82.45,72.23
INT2954,3.37,1.97,67.39,55.36
INT2955,6.51,,,49.35
INT2956,5.0,5.0,35.46,72.62
INT2957,5.75,5.0,32.35,77.8
INT2958,5.74,5.0,64.21,70.3
INT2959,2.97,,53.1,56.62
INT2960,5.51,4.0,65.2,77.5
INT2961,1.76,1.0,42.9,56.79
INT2962,2.77,1.91,61.22,62.41
INT2963,2.61,5.0,50.68,89.46
INT2964,6.89,2.6,89.37,44.77
INT2965,6.63,,52.27,37.32
INT2966,4.74,1.0,55.33,47.76
INT2967,5.32,4.3,90.73,63.21
INT2968,4.26,5.0,44.05,81.05
INT2969,6.52,4.3,59.55,58.55
INT2970,3.81,1.0,70.24,58.82
INT2971,3.68,2.81,76.93,72.42
INT2972,1.5,5.0,92.18,100.0
INT2973,,2.26,5.48,63.19
INT2974,5.16,3.09,79.84,52.31
INT2975,3.19,2.93,85.85,93.63
INT2976,1.07,3.63,2.32,97.99
INT2977,5.83,2.85,90.36,41.9
INT2978,1.0,2.74,9.01,64.42
INT2979,4.83,,49.91,51.82
INT2980,6.62,5.0,88.16,66.71
INT2981,3.95,,86.49,59.45
INT2982,2.04,1.05,91.01,76.33
INT2983,5.47,1.0,95.19,54.93
INT2984,5.69,5.0,54.92,66.95
INT2985,4.66,2.18,16.55,55.4
INT2986,6.73,3.63,5.82,75.32
INT2987,1.0,5.0,62.62,95.88
INT2988,4.52,1.82,52.93,41.19
INT2989,4.99,2.66,70.06,54.88
INT2990,6.25,1.9,90.99,40.2
INT2991,2.15,3.63,56.33,88.04
INT2992,5.67,4.67,83.59,64.67
INT2993,4.77,2.1,50.18,40.77
INT2994,3.72,3.04,,46.19
INT2995,2.12,4.13,67.54,67.49
INT2996,6.66,4.56,14.64,69.53
INT2997,1.9,4.57,59.64,89.92
INT2998,2.46,2.47,93.2,89.61
INT2999,3.01,2.27,87.78,74.08
INT3000,6.11,1.0,62.12,31.26
INT3001,4.73,4.0,0.0,81.74
INT3002,5.76,2.67,59.21,32.62
INT3003,2.93,5.0,64.06,93.93
INT3004,4.42,,75.8,55.97
INT3005,4.78,1.84,48.04,48.47
INT3006,5.92,3.56,54.73,63.61
INT3007,6.08,5.0,64.83,69.64
INT3008,1.42,2.86,8.34,100.0
INT3009,,1.0,71.46,45.81
INT3010,1.1,1.52,96.94,70.84
INT3011,4.09,3.06,99.57,77.3
INT3012,2.62,2.55,76.33,83.91
INT3013,3.15,1.96,64.4,79.25
INT3014,2.63,3.32,89.54,64.72
INT3015,4.45,4.0,57.97,78.23
INT3016,3.21,,62.6,73.43
INT3017,5.31,5.0,89.24,79.82
INT3018,3.26,1.16,71.68,68.55
INT3019,1.78,,7.13,71.35
INT3020,6.12,3.91,5.84,79.79
INT3021,3.16,4.93,64.88,84.38
INT3022,3.37,5.0,,77.06
INT3023,5.52,5.0,63.85,78.06
INT3024,3.23,3.5,61.06,72.5
INT3025,1.0,4.0,68.99,78.52
INT3026,3.35,1.0,88.17,56.84
INT3027,6.2,1.96,85.69,41.58
INT3028,5.06,1.8,48.63,53.31
INT3029,5.26,3.34,25.23,40.69
INT3030,5.08,1.82,22.15,52.49
INT3031,1.86,3.02,61.16,60.96
INT3032,3.64,3.24,30.97,63.14
INT3033,5.19,4.28,57.32,53.35
INT3034,2.06,1.2,70.52,64.01
INT3035,2.85,2.77,53.76,53.83
INT3036,2.26,4.5,49.04,87.23
INT3037,3.28,2.95,60.52,73.38
INT3038,7.0,1.0,78.71,50.55
INT3039,1.39,3.34,54.49,78.61
INT3040,4.35,4.11,94.5,81.21
INT3041,1.86,1.71,98.28,85.32
INT3042,6.98,4.36,60.12,50.27
INT3043,1.36,,85.23,100.0
INT3044,3.46,5.0,92.1,91.43
INT3045,5.89,4.3,76.99,61.38
INT3046,5.36,3.38,66.17,65.03
INT3047,3.09,3.31,36.56,58.83
INT3048,3.57,2.24,12.65,72.71
INT3049,3.05,,70.03,90.81
INT3050,2.81,2.07,73.23,80.13
INT3051,2.26,4.0,87.19,100.0
INT3052,3.69,2.43,62.07,57.05
INT3053,2.29,4.0,,93.89
INT3054,2.4,2.32,0.5,79.92
INT3055,,2.77,57.01,41.86
INT3056,7.0,3.15,67.92,57.31
INT3057,4.59,2.9,58.74,58.59
INT3058,1.06,,78.36,58.95
INT3059,1.83,4.08,60.85,86.84
INT3060,6.7,1.9,56.14,39.13
INT3061,2.72,3.99,75.91,86.16
INT3062,1.46,3.75,77.38,71.26
INT3063,4.46,1.0,66.72,51.5
INT3064,4.77,2.9,81.52,84.03
INT3065,4.99,2.25,24.24,55.54
INT3066,2.57,1.41,1.98,70.89
INT3067,1.49,5.0,,88.42
INT3068,6.61,1.24,53.09,50.49
INT3069,2.59,4.0,59.43,95.08
INT3070,4.86,3.5,57.11,62.95
INT3071,5.49,1.0,83.7,58.66
INT3072,4.26,5.0,69.56,73.79
INT3073,2.57,1.52,69.99,58.57
INT3074,2.93,3.98,88.24,78.99
INT3075,4.27,4.6,74.97,79.32
INT3076,6.33,1.5,86.28,64.38
INT3077,7.0,5.0,75.26,66.1
INT3078,1.66,4.41,79.65,83.11
INT3079,1.62,5.0,88.04,91.67
INT3080,6.49,4.0,80.37,75.04
INT3081,5.74,2.89,60.59,55.1
INT3082,6.15,1.8,89.46,51.55
INT3083,2.44,2.74,97.45,78.41
INT3084,4.81,3.61,44.37,67.28
INT3085,5.21,3.51,78.86,47.23
INT3086,5.36,2.62,54.31,36.42
INT3087,3.27,1.37,67.94,63.06
INT3088,1.11,3.88,6.16,98.57
INT3089,4.69,1.78,91.76,80.81
INT3090,,4.21,75.67,73.07
INT3091,3.47,3.37,60.98,65.02
INT3092,6.9,4.02,,37.11
INT3093,3.55,2.48,73.22,52.4
INT3094,6.03,1.0,95.07,45.37
INT3095,2.43,5.0,61.22,84.21
INT3096,5.01,3.99,51.58,79.55
INT3097,7.0,3.26,71.67,36.84
INT3098,1.85,1.8,63.53,65.24
INT3099,1.0,2.12,4.74,72.95
INT3100,3.5,2.65,73.0,64.86
INT3101,1.73,1.0,83.49,66.97
INT3102,5.88,2.01,2.02,46.67
INT3103,6.17,1.6,87.59,47.98
INT3104,3.61,4.9,57.66,80.01
INT3105,2.17,2.85,69.79,82.27
INT3106,3.39,3.34,82.8,77.52
INT3107,5.53,3.35,,56.58
INT3108,1.0,2.64,3.92,100.0
INT3109,4.7,5.0,59.76,82.37
INT3110,5.08,1.0,67.95,52.95
INT3111,5.3,1.69,56.12,46.97
INT3112,2.17,2.1,60.84,68.69
INT3113,5.53,2.97,93.24,49.79
INT3114,1.98,3.55,55.23,87.56
INT3115,1.79,2.33,97.58,84.62
INT3116,6.17,2.89,6.59,48.43
INT3117,5.85,1.32,76.84,50.28
INT3118,1.0,4.77,9.15,87.0
INT3119,2.92,4.0,85.53,92.5
INT3120,2.32,2.62,45.51,69.07
INT3121,2.22,2.62,88.5,88.84
INT3122,,1.8,67.97,58.96
INT3123,1.21,1.0,38.16,54.57
INT3124,3.53,4.81,60.23,67.0
INT3125,,1.0,,33.35
INT3126,4.62,2.69,67.52,43.68
INT3127,5.02,1.0,27.7,46.23
INT3128,1.08,4.86,36.73,80.35
INT3129,7.0,1.81,81.41,67.69
INT3130,6.01,1.8,94.72,54.38
INT3131,6.15,4.47,91.98,67.91
INT3132,6.26,1.8,62.63,42.69
INT3133,6.42,1.45,17.27,48.58
INT3134,3.77,2.45,59.65,57.01
INT3135,2.61,3.42,98.55,87.14
INT3136,4.96,5.0,77.47,88.91
INT3137,5.07,3.75,59.13,71.99
INT3138,,1.0,92.04,47.2
INT3139,3.65,4.0,69.76,83.0
INT3140,1.0,2.87,62.83,71.87
INT3141,3.26,5.0,63.03,88.22
INT3142,6.12,2.93,69.66,42.49
INT3143,4.97,,75.25,62.19
INT3144,4.62,1.17,94.63,56.43
INT3145,2.76,1.8,93.44,65.46
INT3146,2.77,4.71,78.72,76.67
INT3147,6.19,5.0,26.73,66.86
INT3148,4.87,2.44,70.17,69.76
INT3149,5.7,1.86,98.78,72.53
INT3150,3.4,4.85,80.39,80.35
INT3151,4.86,1.0,62.93,55.18
INT3152,2.43,1.98,72.49,52.48
INT3153,5.68,1.0,76.6,39.02
INT3154,4.01,1.4,71.45,63.12
INT3155,3.73,1.0,,66.14
INT3156,5.04,1.0,92.57,49.03
INT3157,6.26,1.52,75.37,39.95
INT3158,1.1,1.0,38.54,65.95
INT3159,6.35,2.66,67.01,70.52
INT3160,2.95,1.8,58.85,58.61
INT3161,3.35,2.95,96.96,76.07
INT3162,1.2,2.37,1.26,82.69
INT3163,3.24,4.77,90.03,79.99
INT3164,3.87,2.2,85.77,57.45
INT3165,1.03,1.28,89.55,78.6
INT3166,,1.8,96.84,53.79
INT3167,6.52,2.38,81.17,48.59
INT3168,1.55,3.35,72.61,77.2
INT3169,5.36,2.25,58.38,60.08
INT3170,3.85,5.0,81.34,75.03
INT3171,5.28,1.13,88.61,71.45
INT3172,2.46,1.74,63.58,69.58
INT3173,1.49,1.0,87.04,77.0
INT3174,1.91,,88.92,90.7
INT3175,1.1,1.8,91.56,76.98
INT3176,1.75,2.94,34.43,80.52
INT3177,4.88,3.03,84.08,77.85
INT3178,5.89,1.68,65.21,45.07
INT3179,6.34,1.99,86.95,56.55
INT3180,4.66,1.0,73.15,55.43
INT3181,1.56,1.0,29.54,61.72
INT3182,2.4,1.8,,52.02
INT3183,3.05,1.25,,49.21
INT3184,2.08,2.55,58.9,57.48
INT3185,4.14,2.82,9.28,58.75
INT3186,4.48,2.4,80.9,87.15
INT3187,3.59,2.74,92.43,67.23
INT3188,3.32,4.54,51.04,82.78
INT3189,5.57,4.0,53.31,66.55
INT3190,5.33,5.0,40.51,75.65
INT3191,3.08,3.35,,86.56
INT3192,6.2,2.26,20.34,47.19
INT3193,6.67,2.09,39.83,31.69
INT3194,3.44,2.28,61.6,74.0
INT3195,3.45,,69.95,71.35
INT3196,4.38,5.0,61.25,82.11
INT3197,7.0,2.98,67.63,68.55
INT3198,6.38,3.83,86.43,54.94
INT3199,1.86,1.38,55.74,75.81
INT3200,3.22,1.54,21.46,56.35
INT3201,4.82,1.82,81.89,49.64
INT3202,3.8,,73.85,63.31
INT3203,2.25,3.02,96.73,85.82
INT3204,5.93,3.3,64.47,70.69
INT3205,4.67,2.82,86.31,60.86
INT3206,6.1,5.0,86.54,74.18
INT3207,6.0,3.31,61.08,60.82
INT3208,5.57,5.0,95.16,83.64
INT3209,3.7,1.0,74.56,57.14
INT3210,4.7,4.22,83.94,86.0
INT3211,1.58,2.7,36.55,75.29
INT3212,4.98,,25.11,45.92
INT3213,2.39,1.0,79.31,67.84
INT3214,4.98,,65.95,78.11
INT3215,,1.0,74.98,59.83
INT3216,1.7,1.85,68.7,79.74
INT3217,,3.05,82.03,70.78
INT3218,1.17,4.46,4.18,84.29
INT3219,4.91,5.0,50.23,65.74
INT3220,5.76,2.24,82.48,58.91
INT3221,4.42,4.31,71.11,60.12
INT3222,2.22,4.0,36.89,97.67
INT3223,1.47,3.14,54.71,82.51
INT3224,1.37,5.0,0.0,88.76
INT3225,1.97,3.56,24.16,71.09
INT3226,6.59,3.54,96.77,53.95
INT3227,2.83,1.65,71.63,69.24
INT3228,3.52,2.86,52.1,76.07
INT3229,,2.24,56.94,57.72
INT3230,2.69,1.88,7.63,57.05
INT3231,3.72,1.0,79.44,46.04
INT3232,4.25,3.53,59.33,58.95
INT3233,2.52,5.0,74.93,87.09
INT3234,,1.0,31.46,63.93
INT3235,3.0,2.7,90.19,82.71
INT3236,2.38,2.73,66.02,88.54
INT3237,1.91,1.0,72.91,63.26
INT3238,6.86,2.77,54.33,61.03
INT3239,5.06,4.0,71.67,82.94
INT3240,4.58,4.0,89.66,89.52
INT3241,3.37,1.8,83.08,64.87
INT3242,4.06,1.8,48.45,49.32
INT3243,4.41,2.39,75.2,50.12
INT3244,5.5,3.61,98.36,72.68
INT3245,5.38,2.9,,70.83
INT3246,2.52,4.5,95.25,89.71
INT3247,4.32,3.94,58.94,60.72
INT3248,3.49,3.28,74.16,58.23
INT3249,6.09,4.12,95.43,68.56
INT3250,4.97,1.93,66.13,58.44
INT3251,4.29,5.0,98.38,79.16
INT3252,1.82,4.37,54.85,68.27
INT3253,4.47,3.95,72.53,61.45
INT3254,1.63,1.0,34.02,70.71
INT3255,3.08,3.45,53.69,52.92
INT3256,2.2,1.06,93.98,78.07
INT3257,,1.0,62.6,46.72
INT3258,1.86,3.19,51.11,61.47
INT3259,3.1,1.8,,48.84
INT3260,5.9,1.0,82.96,47.11
INT3261,1.74,1.99,98.89,90.36
INT3262,3.77,2.1,55.57,58.6
INT3263,3.82,4.47,,73.02
INT3264,1.51,,4.98,88.23
INT3265,5.65,3.12,4.04,64.05
INT3266,1.47,,55.9,91.69
INT3267,4.06,1.0,61.99,44.8
INT3268,4.81,3.75,59.82,74.29
INT3269,5.18,5.0,41.99,79.24
INT3270,4.69,3.45,93.66,77.49
INT3271,2.27,2.47,75.55,60.79
INT3272,1.0,3.91,4.58,64.23
INT3273,5.46,1.0,38.53,50.53
INT3274,4.42,5.0,89.88,77.62
INT3275,5.83,5.0,56.61,63.93
INT3276,6.28,3.07,53.64,46.58
INT3277,6.01,4.76,19.67,58.28
